
> rae-reputation-arbitrage-engine@0.1.0 sensitivity:replacement
> tsx scripts/replacement-sensitivity.ts

# Replacement-level sensitivity sweep
# generated 2026-08-20T13:51:45.976Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
10T STD 2TE            1.20      12   29   29   26
10T STD 2TE            1.30      13   31   31   29
10T STD 2TE            1.40      14   34   34   31
10T STD noK            1.00      10   25   25   10
10T STD noK            1.10      11   28   28   11
10T STD noK            1.20      12   30   30   12
10T STD noK            1.30      13   33   33   13
10T STD noK            1.40      14   35   35   14
10T STD 0FLEX          1.00      10   20   20   10
10T STD 0FLEX          1.10      11   22   22   11
10T STD 0FLEX          1.20      12   24   24   12
10T STD 0FLEX          1.30      13   26   26   13
10T STD 0FLEX          1.40      14   28   28   14
10T STD 3FLEX          1.00      10   35   35   10
10T STD 3FLEX          1.10      11   39   39   11
10T STD 3FLEX          1.20      12   42   42   12
10T STD 3FLEX          1.30      13   46   46   13
10T STD 3FLEX          1.40      14   49   49   14
10T HALF 1QB           1.00      10   24   26   10
10T HALF 1QB           1.10      11   27   28   11
10T HALF 1QB           1.20      12   29   31   12
10T HALF 1QB           1.30      13   32   33   13
10T HALF 1QB           1.40      14   34   36   14
10T HALF SFLEX         1.00      20   24   26   10
10T HALF SFLEX         1.10      22   27   28   11
10T HALF SFLEX         1.20      24   29   31   12
10T HALF SFLEX         1.30      26   32   33   13
10T HALF SFLEX         1.40      28   34   36   14
10T HALF 2QB           1.00      20   24   26   10
10T HALF 2QB           1.10      22   27   28   11
10T HALF 2QB           1.20      24   29   31   12
10T HALF 2QB           1.30      26   32   33   13
10T HALF 2QB           1.40      28   34   36   14
10T HALF 2TE           1.00      10   24   25   22
10T HALF 2TE           1.10      11   26   27   24
10T HALF 2TE           1.20      12   28   29   26
10T HALF 2TE           1.30      13   31   32   28
10T HALF 2TE           1.40      14   33   34   31
10T HALF noK           1.00      10   24   26   10
10T HALF noK           1.10      11   27   28   11
10T HALF noK           1.20      12   29   31   12
10T HALF noK           1.30      13   32   33   13
10T HALF noK           1.40      14   34   36   14
10T HALF 0FLEX         1.00      10   20   20   10
10T HALF 0FLEX         1.10      11   22   22   11
10T HALF 0FLEX         1.20      12   24   24   12
10T HALF 0FLEX         1.30      13   26   26   13
10T HALF 0FLEX         1.40      14   28   28   14
10T HALF 3FLEX         1.00      10   33   37   10
10T HALF 3FLEX         1.10      11   37   40   11
10T HALF 3FLEX         1.20      12   40   44   12
10T HALF 3FLEX         1.30      13   43   48   13
10T HALF 3FLEX         1.40      14   47   51   14
10T PPR 1QB            1.00      10   24   26   10
10T PPR 1QB            1.10      11   27   28   11
10T PPR 1QB            1.20      12   29   31   12
