# Replacement-level sensitivity sweep
# generated 2026-08-17T04:46:48.341Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
12T HALF 1QB           1.00      12   29   31   12
12T HALF 1QB           1.10      13   32   34   13
12T HALF 1QB           1.20      14   35   37   14
12T HALF 1QB           1.30      16   38   40   16
12T HALF 1QB           1.40      17   41   43   17
12T HALF SFLEX         1.00      24   29   31   12
12T HALF SFLEX         1.10      26   32   34   13
12T HALF SFLEX         1.20      29   35   37   14
12T HALF SFLEX         1.30      31   38   40   16
12T HALF SFLEX         1.40      34   41   43   17
12T HALF 2QB           1.00      24   29   31   12
12T HALF 2QB           1.10      26   32   34   13
12T HALF 2QB           1.20      29   35   37   14
12T HALF 2QB           1.30      31   38   40   16
12T HALF 2QB           1.40      34   41   43   17
12T HALF 2TE           1.00      12   28   29   26
12T HALF 2TE           1.10      13   31   32   29
12T HALF 2TE           1.20      14   34   35   31
12T HALF 2TE           1.30      16   37   38   34
12T HALF 2TE           1.40      17   40   41   37
12T PPR 1QB            1.00      12   29   31   12
12T PPR 1QB            1.10      13   32   34   13
12T PPR 1QB            1.20      14   35   37   14
12T PPR 1QB            1.30      16   38   40   16
12T PPR 1QB            1.40      17   41   43   17
12T PPR SFLEX          1.00      24   29   31   12
12T PPR SFLEX          1.10      26   32   34   13
12T PPR SFLEX          1.20      29   35   37   14
12T PPR SFLEX          1.30      31   38   40   16
12T PPR SFLEX          1.40      34   41   43   17
12T PPR 2QB            1.00      24   29   31   12
12T PPR 2QB            1.10      26   32   34   13
12T PPR 2QB            1.20      29   35   37   14
12T PPR 2QB            1.30      31   38   40   16
12T PPR 2QB            1.40      34   41   43   17
12T PPR 2TE            1.00      12   28   29   26
12T PPR 2TE            1.10      13   31   32   29
12T PPR 2TE            1.20      14   34   35   31
12T PPR 2TE            1.30      16   37   38   34
12T PPR 2TE            1.40      17   40   41   37
14T STD 1QB            1.00      14   35   35   14
14T STD 1QB            1.10      15   39   39   15
14T STD 1QB            1.20      17   42   42   17
14T STD 1QB            1.30      18   46   46   18
14T STD 1QB            1.40      20   49   49   20
14T STD SFLEX          1.00      28   35   35   14
14T STD SFLEX          1.10      31   39   39   15
14T STD SFLEX          1.20      34   42   42   17
14T STD SFLEX          1.30      36   46   46   18
14T STD SFLEX          1.40      39   49   49   20
14T STD 2QB            1.00      28   35   35   14
14T STD 2QB            1.10      31   39   39   15
14T STD 2QB            1.20      34   42   42   17
14T STD 2QB            1.30      36   46   46   18
14T STD 2QB            1.40      39   49   49   20
14T STD 2TE            1.00      14   34   34   31
14T STD 2TE            1.10      15   37   37   34
14T STD 2TE            1.20      17   40   40   37
14T STD 2TE            1.30      18   44   44   40
14T STD 2TE            1.40      20   47   47   43
14T HALF 1QB           1.00      14   34   36   14
14T HALF 1QB           1.10      15   38   39   15
14T HALF 1QB           1.20      17   41   43   17
14T HALF 1QB           1.30      18   44   47   18
14T HALF 1QB           1.40      20   48   50   20
14T HALF SFLEX         1.00      28   34   36   14
14T HALF SFLEX         1.10      31   38   39   15
14T HALF SFLEX         1.20      34   41   43   17
14T HALF SFLEX         1.30      36   44   47   18
14T HALF SFLEX         1.40      39   48   50   20
14T HALF 2QB           1.00      28   34   36   14
14T HALF 2QB           1.10      31   38   39   15
14T HALF 2QB           1.20      34   41   43   17
14T HALF 2QB           1.30      36   44   47   18
14T HALF 2QB           1.40      39   48   50   20
14T HALF 2TE           1.00      14   33   34   31
14T HALF 2TE           1.10      15   36   38   34
14T HALF 2TE           1.20      17   40   41   37
14T HALF 2TE           1.30      18   43   45   40
14T HALF 2TE           1.40      20   46   48   43
14T PPR 1QB            1.00      14   34   36   14
14T PPR 1QB            1.10      15   38   39   15
14T PPR 1QB            1.20      17   41   43   17
14T PPR 1QB            1.30      18   44   47   18
14T PPR 1QB            1.40      20   48   50   20
14T PPR SFLEX          1.00      28   34   36   14
14T PPR SFLEX          1.10      31   38   39   15
14T PPR SFLEX          1.20      34   41   43   17
14T PPR SFLEX          1.30      36   44   47   18
14T PPR SFLEX          1.40      39   48   50   20
14T PPR 2QB            1.00      28   34   36   14
14T PPR 2QB            1.10      31   38   39   15
14T PPR 2QB            1.20      34   41   43   17
14T PPR 2QB            1.30      36   44   47   18
14T PPR 2QB            1.40      39   48   50   20
14T PPR 2TE            1.00      14   33   34   31
14T PPR 2TE            1.10      15   36   38   34
